brand,sku,name,color
valden,OB007-BAS-L,Thermo Mesh Crew,Basalt Grey
valden,MC026-FNV-S,Keylock Screw-Lock,Frost Navy
valden,MC026-FNV-M,Keylock Screw-Lock,Frost Navy
valden,MC026-FNV-L,Keylock Screw-Lock,Frost Navy
valden,MC026-FNV-XL,Keylock Screw-Lock,Frost Navy
valden,MC001-GLW-XS,HMS Twist-Lock,Glacier White
valden,MC001-GLW-S,HMS Twist-Lock,Glacier White
valden,MC001-GLW-M,HMS Twist-Lock,Glacier White
valden,MC001-GLW-L,HMS Twist-Lock,Glacier White
valden,MC001-GLW-XL,HMS Twist-Lock,Glacier White
valden,MC001-SLT-XS,HMS Twist-Lock,Slate
valden,MC001-SLT-S,HMS Twist-Lock,Slate
valden,MC001-SLT-M,HMS Twist-Lock,Slate
valden,MC001-SLT-L,HMS Twist-Lock,Slate
valden,MC001-SLT-XL,HMS Twist-Lock,Slate
valden,MC001-OBS-XS,HMS Twist-Lock,Obsidian
valden,MC001-OBS-S,HMS Twist-Lock,Obsidian
valden,MC001-OBS-M,HMS Twist-Lock,Obsidian
valden,MC001-OBS-L,HMS Twist-Lock,Obsidian
valden,MC001-OBS-XL,HMS Twist-Lock,Obsidian
valden,MC001-BAS-XS,HMS Twist-Lock,Basalt Grey
valden,MC001-BAS-S,HMS Twist-Lock,Basalt Grey
valden,MC001-BAS-M,HMS Twist-Lock,Basalt Grey
valden,MC001-BAS-L,HMS Twist-Lock,Basalt Grey
valden,MC001-BAS-XL,HMS Twist-Lock,Basalt Grey
valden,MC002-EOR-XS,Wiregate Sport,Ember Orange
valden,MC002-EOR-S,Wiregate Sport,Ember Orange
valden,MC002-EOR-M,Wiregate Sport,Ember Orange
valden,MC002-EOR-L,Wiregate Sport,Ember Orange
valden,MC002-EOR-XL,Wiregate Sport,Ember Orange
valden,MC002-FNV-XS,Wiregate Sport,Frost Navy
valden,MC002-FNV-S,Wiregate Sport,Frost Navy
valden,MC002-FNV-M,Wiregate Sport,Frost Navy
valden,MC002-FNV-L,Wiregate Sport,Frost Navy
valden,MC002-FNV-XL,Wiregate Sport,Frost Navy
valden,MC002-ICB-XS,Wiregate Sport,Icefall Blue
valden,MC002-ICB-S,Wiregate Sport,Icefall Blue
valden,EKF009-LGR-S,Grit 119,Larch Green
valden,MC002-ICB-L,Wiregate Sport,Icefall Blue
valden,MC002-ICB-XL,Wiregate Sport,Icefall Blue
valden,MC002-DWD-XS,Wiregate Sport,Driftwood
valden,MC002-DWD-S,Wiregate Sport,Driftwood
valden,MC002-DWD-M,Wiregate Sport,Driftwood
valden,MC002-DWD-L,Wiregate Sport,Driftwood
valden,MC002-DWD-XL,Wiregate Sport,Driftwood
valden,MC003-SLT-XS,Pear Belay,Slate
valden,MC003-SLT-S,Pear Belay,Slate
